strain,date.transformed,host.cell,antibiotics,vector,accession,source.plate.tube,source.kit,creator,other.notes,glycerol.stock.location,burden.assays,miniprep.DNA.concentration.ng.uL.,GFP.inteference,fluorescent.protein,part.type,number.of.subparts,short.part.description,measured,sequenced,sequencing.result
BB536,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K747023,"plate 2, 6O",spring 2018 iGEM distribution,Diya Bhat,,,exp025/exp032/exp047,37.2,FALSE,,Protein_Domain,NA," ""TAL-Protein_CT2_Direpeat""",TRUE,15.5,biobrick.confirmed
BB537,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,E0422,"plate 2, 6P",spring 2018 iGEM distribution,Diya Bhat,,,exp025/exp032/exp047,40.5,FALSE,,Reporter ,NA," ""ECFP (RBS+ LVA+ TERM) (B0034.E0022.B0015)""",TRUE,16.875,biobrick.confirmed
BB538,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K731520,"plate 2, 7A",spring 2018 iGEM distribution,Diya Bhat,,,exp025/exp032/exp047,56.1,TRUE,GFP,Composite ,NA," ""IPTG inducible GFPmut3b""",TRUE,23.375,biobrick.minor.discrepancy
BB539,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K844006,"plate 2, 7B",spring 2018 iGEM distribution,Diya Bhat,,,exp025/exp032/exp047,32.9,FALSE,,Coding,NA," ""Spider Silk 1x Subunit ""W"" with Met (ATG) start codon""",TRUE,13.70833333,biobrick.confirmed
BB540,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K808032,"plate 2, 7C",spring 2018 iGEM distribution,Diya Bhat,,,exp025/exp032/exp047,78.9,FALSE,,Composite ,NA," ""Arabinose regulated RBS-PhoA-His6tag-pNBEst13-Myctag-EstA""",TRUE,32.875,biobrick.minor.discrepancy
BB541,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K844007,"plate 2, 7D",spring 2018 iGEM distribution,Diya Bhat,,,exp025/exp032/exp047,30.9,FALSE,,Coding,NA," ""Spider Silk 1x Subunit ""F"" (Fewest tRNA codon optimized) with Met (ATG) added""",TRUE,12.875,biobrick.confirmed
BB542,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K808000,"plate 2, 7E",spring 2018 iGEM distribution,Diya Bhat,,,exp025/exp032/exp047,36.3,FALSE,,Regulatory,NA," "" araC-Pbad - Arabinose inducible regulatory promoter/repressor unit""",TRUE,15.125,biobrick.confirmed
BB543,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K844008,"plate 2, 7F",spring 2018 iGEM distribution,Diya Bhat,,,exp025/exp032/exp047,32.3,FALSE,,Coding,NA," ""Spider Silk 1x Subunit ""B"" (Balanced tRNA codon optimized) with Met (ATG) added""",TRUE,13.45833333,biobrick.confirmed
BB544,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K747029,"plate 2, 8K",spring 2018 iGEM distribution,Diya Bhat,,,exp025/exp047,30.6,FALSE,,Protein_Domain,NA," ""TAL-Protein_TC2_Direpeat""",FALSE,12.75,NA
BB545,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,S0116,"plate 2, 8L",spring 2018 iGEM distribution,Diya Bhat,,,exp025,51.5,FALSE,,Intermediate,NA," ""B0031.C0052""",FALSE,21.45833333,NA
BB546,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K747030,"plate 2, 8M",spring 2018 iGEM distribution,Diya Bhat,,,exp025,42.2,FALSE,,Protein_Domain,NA," ""TAL-Protein_TG2_Direpeat""",FALSE,17.58333333,NA
BB547,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,S0117,"plate 2, 8N",spring 2018 iGEM distribution,Diya Bhat,,,exp025,45.7,FALSE,,Intermediate,NA," ""B0031.C0053""",FALSE,19.04166667,NA
BB548,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K747031,"plate 2, 8O",spring 2018 iGEM distribution,Diya Bhat,,,,NA,FALSE,,Protein_Domain,NA," ""TAL-Protein_TT2_Direpeat""",FALSE,0,NA
BB549,07.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,P0152,"plate 2, 8P",spring 2018 iGEM distribution,Diya Bhat,,,,NA,FALSE,,Generator,NA," ""PoPS -> cI (434)   [S0166]""",FALSE,0,NA
BB550,08.04.19,E. coli DH10B + burden monitor,"kan,cam",pSB1C3,K592009,"Plate 1, 19E",spring 2018 iGEM distribution,Noor Radde,,,exp022/exp027,NA,TRUE,BCP,Coding,NA," ""amilCP  blue chromoprotein""",TRUE,0,not.sequenced
BB551,08.04.19,E. coli DH10B + burden monitor,"kan,cam",pSB1C3,R0040,"Plate 7, 21D",spring 2018 iGEM distribution,Noor Radde,,,exp022/exp027,NA,FALSE,,Regulatory,NA," ""TetR repressible promoter""",TRUE,0,not.sequenced
BB552,08.04.19,E. coli DH10B + burden monitor,"kan,cam",pSB1C3,B0015,"Plate 3, 3F",spring 2018 iGEM distribution,Noor Radde,,,exp025/exp027,NA,FALSE,,Terminator,NA," ""double terminator (B0010-B0012)""",TRUE,0,not.sequenced
BB553,08.04.19,E. coli DH10B + burden monitor,"kan,cam",pSB1C3,E1010,"Plate 3, 11N",spring 2018 iGEM distribution,Noor Radde,,,exp025/exp027/exp053,NA,FALSE,RFP,Coding,NA," "" **highly** engineered mutant of red fluorescent protein from Discosoma striata (coral)""",TRUE,0,not.sequenced
BB554,08.04.19,E. coli DH10B + burden monitor,"kan,cam",pSB1C3,K731721,"Plate 1, 24K",spring 2018 iGEM distribution,Noor Radde,,,exp027/exp054/exp051/exp050,NA,FALSE,,Terminator,NA," ""T7 terminator""",TRUE,0,not.sequenced
BB555,08.04.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,J61100,"Plate 4, 16C",spring 2018 iGEM distribution,Noor Radde,,,exp027,NA,FALSE,,RBS,NA," ""Ribosome Binding Site Family Member""",TRUE,0,not.sequenced
BB556,08.04.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,B0011,"Plate 4, 1B",spring 2018 iGEM distribution,Noor Radde,,,exp027,NA,FALSE,,Terminator,NA," ""LuxICDABEG (+/-)""",TRUE,0,not.sequenced
BB557,08.04.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,E0040,"Plate 4, 13L",spring 2018 iGEM distribution,Noor Radde,,,exp027,NA,TRUE,GFP,Coding,NA," ""green fluorescent protein derived from jellyfish Aequeora victoria wild-type GFP (SwissProt: P42212""",TRUE,0,NA
BB558,08.04.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,B0031,"Plate 4, 1H",spring 2018 iGEM distribution,Noor Radde,,,exp027,NA,FALSE,,RBS,NA," ""RBS.2 (weak) -- derivative of 0030""",TRUE,0,not.sequenced
BB559,08.04.19,E. coli DH10B + burden monitor,"kan,cam",pSB1C3,P10304,"Plate 2, 18B",spring 2018 iGEM distribution,Jordan Clements,,,exp053,NA,FALSE,RFP,DNA,NA,"""tRFP""",FALSE,0,NA
BB560,08.04.19,E. coli DH10B + burden monitor,"kan,cam",pSB1C3,K592012,"Plate 4, 15I",spring 2019 iGEM distribution ,Jordan Clements,,,exp053,NA,FALSE,,Coding,NA,"""eforRed, red chromoprotein""",FALSE,0,NA
BB561,08.04.19,E. coli DH10B + burden monitor,"kan,cam",pSB1C3,K515100,"Plate 1, 24C",spring 2018 iGEM distribution,Jordan Clements,,,exp053,NA,FALSE,,Composite ,NA,"""IAA biosynthetic genes under control of the Pveg2 promoter""",FALSE,0,NA
BB562,,,,,,,,,,,,NA,FALSE,,,NA,,FALSE,0,NA
BB563,,,,,,,,,,,,NA,FALSE,,,NA,,FALSE,0,NA
BB564,,,,,,,,,,,,NA,FALSE,,,NA,,FALSE,0,NA
BB565,,,,,,,,,,,,NA,FALSE,,,NA,,FALSE,0,NA
BB566,,,,,,,,,,,,NA,FALSE,,,NA,,FALSE,0,NA
BB567,,,,,,,,,,,,NA,FALSE,,,NA,,FALSE,0,NA
BB568,,,,,,,,,,,,NA,FALSE,,,NA,,FALSE,0,NA
BB569,,,,,,,,,,,,NA,FALSE,,,NA,,FALSE,0,NA
BB570,,,,,,,,,,,,NA,FALSE,,,NA,,FALSE,0,NA
BB571,,,,,,,,,,,,NA,FALSE,,,NA,,FALSE,0,NA
BB572,,,,,,,,,,,,NA,FALSE,,,NA,,FALSE,0,NA
BB573,,,,,,,,,,,,NA,FALSE,,,NA,,FALSE,0,NA
BB574,,,,,,,,,,,,NA,FALSE,,,NA,,FALSE,0,NA
BB575,08.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C6,K783031,"Plate 6, 8L ",spring 2019 iGEM distribution ,Noor Radde,,,exp027/exp053,NA,FALSE,,Regulatory,NA,,TRUE,0,NA
BB576,08.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C00,J97005,"Plate 6, 10N",spring 2019 iGEM distribution ,Noor Radde,,,exp027/exp053,NA,TRUE,GFP,Coding,NA,"""P-Free JuniperGFP (Green Fluorescent Protein)""",TRUE,0,NA
BB577,08.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C6,K1114007,"Plate 6, 2J",spring 2019 iGEM distribution ,Noor Radde,,,exp027/exp053,NA,FALSE,,Regulatory,NA,,TRUE,0,NA
BB578,08.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C6,K1114009,"Plate 6, 2L ",spring 2019 iGEM distribution ,Noor Radde,,,exp027/exp053,NA,FALSE,,Regulatory,NA,,TRUE,0,NA
BB579,08.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C6,K1114101,"Plate 6, 6D",spring 2019 iGEM distribution ,Noor Radde,,,exp027/exp053,NA,FALSE,,RBS,NA,,TRUE,0,NA
BB580,08.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C6,K1114104,"Plate 6, 6J ",spring 2019 iGEM distribution ,Noor Radde,,,exp027/exp053,NA,FALSE,,RBS,NA,,TRUE,0,NA
BB581,08.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C6,K1114012,"Plate 6, 4B ",spring 2019 iGEM distribution ,Noor Radde,,,exp027/exp053,NA,FALSE,,Regulatory,NA,,TRUE,0,NA
BB582,08.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C6,K1114021,"Plate 6, 4L ",spring 2019 iGEM distribution ,Noor Radde,,,exp027/exp053,NA,FALSE,,Regulatory,NA,,TRUE,0,NA
BB583,08.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,C0061,"Plate 2, 4J",spring 2018 iGEM distribution,Noor Radde,,,exp027,NA,FALSE,,Coding,NA," ""autoinducer synthetase for AHL""",TRUE,0,not.sequenced
BB584,08.04.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,J61101,"Plate 4, 16E ",spring 2018 iGEM distribution,Noor Radde,,,exp027,NA,FALSE,,RBS,NA,"""Ribosome Binding Site Family Member""",TRUE,0,not.sequenced
BB585,08.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,R0010,"Plate 3, 4G ",spring 2018 iGEM distribution,Noor Radde,,,exp027,NA,FALSE,,Regulatory,NA," ""promoter (lacI regulated)""",TRUE,0,not.sequenced
BB586,08.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,P10302,"Plate 6, 18D",spring 2018 iGEM distribution,Noor Radde,,,exp027,NA,FALSE,,DNA,NA," ""GVG""",TRUE,0,not.sequenced
BB587,08.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,E0030,"Plate 3, 15D ",spring 2018 iGEM distribution,Noor Radde,,,exp027,NA,TRUE,YFP,Coding,NA," ""enhanced yellow fluorescent protein derived from A. victoria GFP""",TRUE,0,not.sequenced
BB588,08.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,I0500,"Plate 6, 21E",spring 2018 iGEM distribution,Noor Radde,,,exp027,NA,FALSE,,Regulatory,NA," ""Inducible pBad/araC promoter""",TRUE,0,not.sequenced
BB589,08.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,B1006,"Plate 3, 5D",spring 2018 iGEM distribution,Noor Radde,,,exp028,NA,FALSE,,Terminator,NA," ""Terminator (artificial  large  %T~>90)""",FALSE,0,not.sequenced
BB590,08.04.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,J23119,"Plate 3, 17O ",spring 2018 iGEM distribution,Noor Radde,,,exp028,NA,FALSE,,Regulatory,NA," ""constitutive promoter family member""",FALSE,0,not.sequenced
MSU1,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K819010,"Plate 1, F5",spring 2018 iGEM distribution,,,,exp057,NA,FALSE,,Coding,1," ""Medium cheZ generator""",TRUE,,NA
MSU2,,E. coli DH10B + burden monitor,"kan, amp",J23006,J23070,"Plate 4, 15P",spring 2018 iGEM distribution,,,,exp057,NA,FALSE,,Generator,2," ""Ser2 derived key""",TRUE,,NA
MSU3,,E. coli DH10B + burden monitor,"kan, amp",pSB1A3,I13452,"Plate 4, 21D",spring 2018 iGEM distribution,,,,exp057,NA,FALSE,,Intermediate,2," ""Adds another BioBrick site""",TRUE,,NA
MSU4,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K819017,"Plate 1, D5",spring 2018 iGEM distribution,,,,exp057,NA,FALSE,,Coding,1," ""Luminesensor repressible SulA408 promoter""",TRUE,,NA
MSU5,,E. coli DH10B + burden monitor,"kan, amp",J61002,J23115,"Plate 4, 19L",spring 2018 iGEM distribution,,,,exp057,NA,FALSE,,Regulatory,1," ""constitutive promoter family member""",TRUE,,NA
MSU6,,E. coli DH10B + burden monitor,"kan, amp",J61002,J23107,"Plate 4, B19",spring 2018 iGEM distribution,,,,exp057,NA,FALSE,,Regulatory,1," ""constitutive promoter family member """,TRUE,,NA
MSU7,,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K617003,"Plate 1, M8",spring 2018 iGEM distribution,,,,exp057,NA,FALSE,,DNA,1, Confirmed(A),TRUE,,NA
MSU8,,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,J61000,"Plate 4, 23N",spring 2018 iGEM distribution,,,,exp057,NA,FALSE,,Translational_Unit,2," ""chloramphenicol resistance cassette""",TRUE,,NA
MSU9,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K541501,"Plate 1, 11E",spring 2018 iGEM distribution,,,,exp057,NA,FALSE,,Composite,8," ""Promoter Pveg  RBS spoVG and SacB signal peptide for B. subtilis""",TRUE,,NA
MSU10,,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,I13001,"PLate 4, 23H",spring 2018 iGEM distribution,,,,exp057,NA,TRUE,YFP,Composite,2," ""RBS B0030 w/ YFP (-LVA) TT""",TRUE,,NA
MSU11,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K733013,"Plate 1, 7H",spring 2018 iGEM distribution,,,,exp057,NA,FALSE,,Composite,1," ""<i>Pveg</i>+R.B.S.""",TRUE,,NA
MSU12,,E. coli DH10B + burden monitor,"kan, amp",J61002,J23104,"Plate 4, L17",spring 2018 iGEM distribution,,,,exp057,NA,FALSE,,Regulatory,1," ""constitutive promoter family member""",TRUE,,NA
MSU13,,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K731721,"Plate 1, 24K",spring 2018 iGEM distribution,,,,exp057,NA,FALSE,,Terminator,1," ""T7 terminator""",TRUE,,NA
MSU14,,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,I13602,"Plate 4, 11J",spring 2018 iGEM distribution,,,,exp057,NA,FALSE,,Device,2," ""Tet operator with CFP reporter (with LVA tag) [R/Tc+]""",TRUE,,NA
MSU15,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K634001,"Plate 1, 10G",spring 2018 iGEM distribution,,,,exp057,NA,FALSE,,Regulatory,1," ""exaE""",TRUE,,NA
MSU16,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,J52022,"Plate 4, 11E",spring 2018 iGEM distribution,,,,exp057,NA,TRUE,GFP,Generator,4," ""Nf_B-dnTraf6-linker-GFP""",TRUE,,NA
MSU17,,E. coli DH10B + burden monitor,"kan, amp",J61002,J23113,"Plate 4, 19H",spring 2018 iGEM distribution,,,,exp057,NA,FALSE,,Regulatory,1," ""constitutive promoter family member""",TRUE,,NA
MSU18,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,S05050,"Plate 1, B5",spring 2018 iGEM distribution,,,,exp057,NA,FALSE,,Regulatory,1," ""B0034:K748002""",FALSE,,NA
MSU19,,E. coli DH10B + burden monitor,"kan, amp",J61002,J23117,"Plate 4, 19P",spring 2018 iGEM distribution,,,,exp057,NA,FALSE,,Regulatory,1," ""constitutive promoter family member""",TRUE,,NA
MSU20,,E. coli DH10B + burden monitor,"kan, amp",J61002,J23101,"Plate 4, F17",spring 2018 iGEM distribution,,,,exp057,NA,FALSE,,Regulatory,1," ""constitutive promoter family member""",TRUE,,NA
